ID;FECHA DE ENTREGA;COORD_Y;COORD_X;DIRECCIÓN;BARRIO;LOCALIDAD;ESTADO ACTUAL;ACCIONES REALIZADAS;TIPO DE RESIDUO;FRECUENCIA DE LIMPIEZA;AREA RECUPERADA (m2);POBLACION IMPACTADA;TONELADAS DE CO2 EQUIVALENTE
VL001;ND;10.94264;-74.80454;ND;Carrizal;Metropolitana;Recuperado;ND;ND;ND;ND;950;11.8
VL002;ND;10.9493;-74.78946;ND;La Unión;Suroriente;Recuperado;ND;ND;ND;ND;400;11.2
VL003;ND;10.95838;-74.78382;ND;Los Trupillos;Suroriente;Recuperado;ND;ND;ND;ND;75;9.9
VL004;ND;10.96413;-74.78563;ND;Montes;Suroriente;Recuperado;ND;ND;ND;ND;75;8.3
VL005;ND;10.95864;-74.79891;ND;Cevillar;Suroccidente;Recuperado;ND;ND;ND;ND;350;7.1
VL006;ND;11.03272;-74.87054;ND;Adelita de Char;Metropolitana;Recuperado;ND;ND;ND;ND;950;6.9
VL007;ND;10.97773;-74.79508;ND;Lucero;Suroccidente;Recuperado;ND;ND;ND;ND;1200;6.8
VL008;ND;10.95807;-74.85647;ND;Caribe Verde;Suroccidente;Recuperado;ND;ND;ND;ND;850;6.4
VL009;ND;10.96739;-74.77581;ND;Rebolo;Suroriente;Recuperado;ND;ND;ND;ND;4,918;4.2
