ID;FECHA DE ENTREGA;COORD_Y;COORD_X;DIRECCIÓN;BARRIO;LOCALIDAD;ESTADO ACTUAL;ACCIONES REALIZADAS;TIPO DE RESIDUO;FRECUENCIA DE LIMPIEZA;AREA RECUPERADA (m2);POBLACION IMPACTADA;TONELADAS DE CO2 EQUIVALENTE
PC103;14/06/2025;11.03883877;-74.82668496;Calle 110 Con Vía 40;Las Flores;Riomar;Recuperado;Reconstruccion De Anden Y Bordillo ;Residuos Organicos, Ordinarios, Escombros, Poda De Arboles;Interdiaria;868;1567;228
PC046;14/06/2025;11.03767475;-74.83161900;Via La Playa Sentido Las Flores - La Playa Cerca Del Parqueadero De Camiones;Las Flores;Riomar;Recuperado;Reconstruccion De Anden Y Bordillo ;Residuos Organicos, Ordinarios, Escombros, Poda De Arboles;Unisemanal;645;1567;449
PC119;14/06/2025;11.03128120;-74.85983071;Circunvalar De La Prosperidad Con Vía A La Playa;La Playa;Riomar;Recuperado;Reconstruccion De Anden Y Bordillo ;Residuos Organicos, Ordinarios, Escombros, Poda De Arboles;Interdiaria;395;247;169
PC002;28/06/2025;11.02435699;-74.80184764;Via 40 Con Calle 82;Siape;Riomar;Recuperado;Reconstruccion De Anden Y Bordillo ;Residuos Organicos, Ordinarios, Escombros;Interdiaria;207;1410;518
PC012;5/07/2025;10.99248850;-74.78085471;Calle 40 Entre Cra 51 Y 52 - Cra 52 Entre Calle 40 Y 42;Barrio Abajo;Norte Centro Histórico;Recuperado;Reconstruccion De Anden Y Bordillo ;Residuos Organicos, Ordinarios, Escombros;Interdiaria;978;399;1192
PC100;12/07/2025;10.95507012;-74.82368565;Calle 87 Con Carrera 9;El Bosque;Suroccidente;Recuperado;Reconstruccion De Anden Y Bordillo ;Residuos Organicos, Ordinarios, Escombros, Poda De Arboles;Interdiaria;1393;318;281
PC019;19/07/2025;10.96440800;-74.79197996;Avenida Cordialidad Con Calle Murillo;San Jose;Suroriente;Recuperado;Reconstruccion De Anden Y Bordillo ;Residuos Organicos, Ordinarios, Escombros;Interdiaria;543;908;388
PC015;26/07/2025;10.94395522;-74.83252326;Cordialidad Con Circunvalar;Cordialidad;Suroccidente;Recuperado;Reconstruccion De Anden, Bordillo Y Jardinera;Residuos Organicos, Ordinarios, Escombros, Poda De Arboles.;Diario;967;300;446
PC120;2/08/2025;11.01934915;-74.81326593;Calle 88 Con Carrera 71;Villa Carolina;Riomar;Recuperado;Reconstruccion De Anden, Bordillo Y Jardinera;Residuos Organicos, Ordinarios, Escombros, Poda De Arboles;Interdiaria;1408;1003;217
PC073;23/08/2025;11.01199561;-74.79412630;Carrera 73 Con Calle 75;La Concepción;Norte Centro Histórico;Recuperado;Reconstruccion De Anden, Bordillo Y Jardinera;Residuos Organicos, Ordinarios, Escombros, Poda De Arboles;Cuatrisemanal;1751;529;292
PC136;23/08/2025;10.95571697;-74.82417677;Carrera 9a Entre Calle 87 Y 93;El Bosque;Suroccidente;Recuperado;Embellecimiento;Residuos De Rechazo De Raee;Interdiaria;88;128;9
PC130;30/08/2025;10.98574727;-74.79208978;Calle 54 Entre Carrera 43 Y 44;Boston;Norte Centro Histórico;Recuperado;Reconstruccion De Anden, Bordillo Y Jardinera;Residuos Organicos, Ordinarios, Escombros, Poda De Arboles;Interdiaria;181;665;147
PC131;6/09/2025;10.95630613;-74.85453207;Caribe Verde;Caribe Verde;Suroccidente;Recuperado;Reconstruccion De Anden, Bordillo Y Jardinera;Residuos Organicos, Ordinarios, Escombros, Poda De Arboles;Interdiaria;150;3645;149
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
