ID	FECHA DE ENTREGA	COORD_Y	COORD_X	DIRECCIÓN	BARRIO	LOCALIDAD	ESTADO ACTUAL	ACCIONES REALIZADAS	TIPO DE RESIDUO	FRECUENCIA DE LIMPIEZA	AREA RECUPERADA (m2)	POBLACION IMPACTADA	TONELADAS DE CO2 EQUIVALENTE
PC121	13/9/2025	10.97311310	-74.79487650	DIAGONAL 31 ENTRE CALLES 50 A 53D	LUCERO	SUROCCIDENTE	RECUPERADO	RECONSTRUCCION DE ANDEN, BORDILLO Y JARDINERA	RESIDUOS ORGANICOS, ORDINARIOS, ESCOMBROS, PODA DE ARBOLES	CUATRISEMANAL	2171	1887	926	
PC118	20/9/2025	10.98646170	-74.78844210	CALLE 50 ENTRE CARRERA 44 Y 45	BOSTON	NORTE CENTRO HISTÓRICO	RECUPERADO	RECONSTRUCCION DE ANDEN, BORDILLO Y JARDINERA	RESIDUOS ORGANICOS, ORDINARIOS, ESCOMBROS, PODA DE ARBOLES	INTERDIARIA	259	952	2	
PC126	20/9/2025	10.94436060	-74.77778040	CARRERA 5B CON CALLE 23	SIMÓN BOLIVAR	SURORIENTE	RECUPERADO	RECONSTRUCCION DE ANDEN, BORDILLO Y JARDINERA	RESIDUOS ORGANICOS, ORDINARIOS, ESCOMBROS, PODA DE ARBOLES	INTERDIARIA	1437	909	30	
